Summary,Outcome,Side,Unnamed: 3,case_summary
"This appeal was filed by the informant-appellant challenging the High Court's order granting bail to the accused, who was the second respondent in the case. The appellant had lodged an FIR for the murder of his father against the accused. The FIR alleged that the accused, along with associates, had attacked and killed the deceased due to pre-existing rivalry between their families. The accused was arrested and remained in judicial custody for over a year until the High Court granted him bail.

The appellant argued that the High Court did not consider the gravity of the offence and the potential influence the accused could wield in tampering with evidence or threatening witnesses. The appellant contended that the grant of bail was contrary to settled legal principles and requested the court to set aside the High Court's order.","The Supreme Court allowed the appeal and set aside the High Court's order granting bail to the accused. The court found that the High Court had not adequately considered the seriousness of the allegations against the accused and had granted bail without coherent reasoning. The accused's bail bond was canceled, and he was directed to surrender to the jail authorities within two weeks",1,,"Key info:  This appeal was filed by the informant-appellant challenging the High Court's order granting bail to the accused, who was the second respondent in the case. The appellant had lodged an FIR for the murder of his father against the accused.. The Supreme Court allowed the appeal and set aside the High Court's order granting bail to the accused. The court found that the High Court had not adequately considered the seriousness of the allegations against the accused and had granted bail without coherent reasoning.."
"A 16 year old girl was allegedly kidnapped and raped by the appellant. The girl's father reported her missing and she was later found with the appellant. The girl initially claimed she was kidnapped and raped but later admitted to being in love with the appellant. 22 years later, the appellant appealed his conviction.","The High Court found the appellant guilty of kidnapping and rape but reduced his sentence to time served due to several factors including the age of the appellant at the time of the crime (around 18), the length of time since the crime (22 years), and the fact that both the victim and appellant are now leading normal lives.",1,,"Key info:  A 16 year old girl was allegedly kidnapped and raped by the appellant. The girl's father reported her missing and she was later found with the appellant.. The High Court found the appellant guilty of kidnapping and rape but reduced his sentence to time served due to several factors including the age of the appellant at the time of the crime (around 18), the length of time since the crime (22 years), and the fact that both the victim and appellant are now leading normal lives.."
"The dispute revolves around the ownership and possession of a property. The plaintiff claims possession based on long-term occupation, while the defendants assert their title through sale deeds. The plaintiff alleges wrongful dispossession by the defendants before filing the suit.

The central issues are whether the plaintiff has a better title over the property and whether they were in settled possession requiring lawful dispossession.

The defendants argue that they have valid ownership evidenced by sale deeds and have been in possession as owners. They also point out that the property was part of a planned colony established by the municipality after the abolition of the Jagirdari system.

The trial court ruled in favor of the plaintiff, but the First Appellate Court overturned this decision, concluding that the defendants had established their title and possession over the property.","The High Court, in its judgments on the second appeal and review petition, upheld the First Appellate Court's decision, setting aside the trial court's judgment. It restored the judgment of the First Appellate Court, thereby dismissing the plaintiff's suit.",0,,"Key info:  The dispute revolves around the ownership and possession of a property. The plaintiff claims possession based on long-term occupation, while the defendants assert their title through sale deeds.. The High Court, in its judgments on the second appeal and review petition, upheld the First Appellate Court's decision, setting aside the trial court's judgment. It restored the judgment of the First Appellate Court, thereby dismissing the plaintiff's suit.."
"The case involves a dispute over the ownership and possession of a property. The plaintiff claims possession based on long-term occupation, while the defendants assert their title through sale deeds. The plaintiff alleges wrongful dispossession by the defendants before filing the suit.

Key issues include whether the plaintiff has a better title over the property and whether they were in settled possession requiring lawful dispossession.

The defendants argue that they have valid ownership evidenced by sale deeds and have been in possession as owners. They also point out the establishment of a planned colony by the municipality on the land.

The trial court ruled in favor of the plaintiff, but the First Appellate Court overturned this decision, concluding that the defendants had established their title and possession over the property.","The High Court, in its judgments on the second appeal and review petition, upheld the First Appellate Court's decision, setting aside the trial court's judgment. It restored the judgment of the First Appellate Court, thereby dismissing the plaintiff's suit.",1,,"Key info:  The case involves a dispute over the ownership and possession of a property. The plaintiff claims possession based on long-term occupation, while the defendants assert their title through sale deeds.. The High Court, in its judgments on the second appeal and review petition, upheld the First Appellate Court's decision, setting aside the trial court's judgment. It restored the judgment of the First Appellate Court, thereby dismissing the plaintiff's suit.."
"The case revolves around a fatal accident involving a truck and a motorcycle, resulting in the death of Sonu Kumar Goyal. The Motor Accident Claims Tribunal (MACT) held the truck driver negligent and jointly liable with the vehicle owner and insurer. The deceased, a bachelor aged 20, was pursuing a Chartered Accountancy course.

The Tribunal assessed the loss of dependency at Rs. 4,31,000, based on a monthly income of Rs. 6,000 and applying a multiplier of 11. Both appellants and the insurer appealed this decision.","The High Court upheld the Tribunal's decision but revised the compensation amount. While it agreed with the income assessment, it corrected the multiplier to 17 and added 40% towards future prospects, in line with Supreme Court judgments. The revised compensation totaled Rs. 8,86,800, along with interest at 7.5% from the petition filing date.",1,,"Key info:  The case revolves around a fatal accident involving a truck and a motorcycle, resulting in the death of Sonu Kumar Goyal. The Motor Accident Claims Tribunal (MACT) held the truck driver negligent and jointly liable with the vehicle owner and insurer.. The High Court upheld the Tribunal's decision but revised the compensation amount. While it agreed with the income assessment, it corrected the multiplier to 17 and added 40% towards future prospects, in line with Supreme Court judgments.."
"The case concerns whether the High Court, when refusing to exercise inherent powers under Section 482 of the Code of Criminal Procedure (CrPC) to quash an investigation, can prohibit the investigating agency from arresting the accused during the investigation.

The facts revolve around an FIR filed under various sections of the Indian Penal Code (IPC) based on a report by the informant. Three accused individuals sought quashing of the FIR and consequent investigation through a petition. While the High Court declined to interfere with the investigation, it directed the police not to arrest the accused during the investigation, citing the possibility of false implication.

The State, represented by Mr. Harin P. Raval, argued that custodial interrogation of the accused was necessary, and the High Court's direction amounted to granting anticipatory bail, which is beyond the scope of Section 482 CrPC.

On the other hand, Ms. Nilofar Khan, representing the accused, supported the High Court's order, arguing that the custodial interrogation was unnecessary, and the High Court had the power to pass such an order under Section 482 CrPC.","The Court noted that while the High Court has wide powers under Section 482 CrPC, these powers must be exercised sparingly and within the confines of the law. The High Court's direction not to arrest the accused during the investigation was deemed legally unacceptable, akin to granting anticipatory bail without fulfilling the conditions under Section 438 CrPC.",1,,"Key info:  The case concerns whether the High Court, when refusing to exercise inherent powers under Section 482 of the Code of Criminal Procedure (CrPC) to quash an investigation, can prohibit the investigating agency from arresting the accused during the investigation.

 The facts revolve around an FIR filed under various sections of the Indian Penal Code (IPC) based on a report by the informant.. The Court noted that while the High Court has wide powers under Section 482 CrPC, these powers must be exercised sparingly and within the confines of the law. The High Court's direction not to arrest the accused during the investigation was deemed legally unacceptable, akin to granting anticipatory bail without fulfilling the conditions under Section 438 CrPC.."
"The case revolves around the interpretation of whether a ""protected tenant"" under the Maharashtra Rent Control Act, 1999 can be considered a lessee, and if the provisions of the SARFAESI Act override those of the Rent Control Act. The appellant, a tenant, sought to preserve their rights against eviction when the property they occupied was mortgaged by the landlord to a bank. The issue was whether the bank could use the SARFAESI Act to take possession of the property despite the appellant's tenancy rights.","The Supreme Court held that the SARFAESI Act cannot be used to circumvent the statutory rights of tenants under the Rent Control Act. It ruled in favor of the tenants, asserting that tenancy rights cannot be arbitrarily overridden by banks seeking to recover their dues. The court set aside the judgments and orders passed by lower courts and directed that amounts deposited towards rent be adjusted towards the debts owed by the landlords to the banks.",1,,"Key info:  The case revolves around the interpretation of whether a ""protected tenant"" under the Maharashtra Rent Control Act, 1999 can be considered a lessee, and if the provisions of the SARFAESI Act override those of the Rent Control Act. The appellant, a tenant, sought to preserve their rights against eviction when the property they occupied was mortgaged by the landlord to a bank.. The Supreme Court held that the SARFAESI Act cannot be used to circumvent the statutory rights of tenants under the Rent Control Act. It ruled in favor of the tenants, asserting that tenancy rights cannot be arbitrarily overridden by banks seeking to recover their dues.."
"The case involves the death of Dr. Monica Thapar, who was suspected by her father, Madan Lal Kapoor, to have been poisoned. Despite suspicions, medical examinations concluded that her death was due to natural causes, specifically cardiac decomposition. Legal proceedings were initiated by Kapoor, alleging harassment and torture leading to his daughter's death, but the courts found insufficient evidence to support these claims","After thorough examination of medical reports, inquest proceedings, and other evidence, the courts quashed the criminal proceedings against the accused. Despite Kapoor's allegations, the courts determined that there was no concrete evidence to support the claims of foul pla",0,,"Key info:  The case involves the death of Dr. Monica Thapar, who was suspected by her father, Madan Lal Kapoor, to have been poisoned. Despite suspicions, medical examinations concluded that her death was due to natural causes, specifically cardiac decomposition.. After thorough examination of medical reports, inquest proceedings, and other evidence, the courts quashed the criminal proceedings against the accused. Despite Kapoor's allegations, the courts determined that there was no concrete evidence to support the claims of foul pla."
"In the case involving agrarian tensions in Bahraich district, tenants, including Punjabees and Muslims, accused local Congress members of orchestrating troubles. They sought intervention from various authorities, including the Hon'ble Premier, due to conflicts with sub-tenants and alleged misconduct by Congress leaders. Mr. B. S. Nayyar, a tenant, wrote representations addressing these issues, prompting a contempt of court allegation from the District Magistrate.","Upon examination, the court found that Nayyar's representations aimed to address grievances and seek redressal for alleged misconduct by Congress members and officials. The court concluded that Nayyar's actions did not amount to contempt of court, as they did not interfere with the administration of justice or undermine public confidence in the judiciary.",0,,"Key info:  In the case involving agrarian tensions in Bahraich district, tenants, including Punjabees and Muslims, accused local Congress members of orchestrating troubles. They sought intervention from various authorities, including the Hon'ble Premier, due to conflicts with sub-tenants and alleged misconduct by Congress leaders.. Upon examination, the court found that Nayyar's representations aimed to address grievances and seek redressal for alleged misconduct by Congress members and officials. The court concluded that Nayyar's actions did not amount to contempt of court, as they did not interfere with the administration of justice or undermine public confidence in the judiciary.."
"Twenty accused individuals were convicted by the Gaon Panchayati Adalat of Khajuria Awasi district Sitapur under Section 160 of the Penal Code and were sentenced to pay a fine of Rs. 40 each. They filed multiple revision applications, but all were dismissed. They then filed an application before the High Court under Article 227 of the Constitution of India and Section 561A of the Criminal Procedure Code, praying for the quashing of the proceedings and the order of conviction passed by the Panchayati Adalat.","During the hearing, several irregularities in the proceedings were highlighted, including unauthorized interference by the Sarpanch, failure to explain the charge to the accused, unauthorized appointment of a commission, and lack of evidence to establish the offense under Section 160 of the Penal Code.The High Court allowed the application, set aside the convictions of the accused, and ordered that the fines, if paid, be refunded.",1,,"Key info:  Twenty accused individuals were convicted by the Gaon Panchayati Adalat of Khajuria Awasi district Sitapur under Section 160 of the Penal Code and were sentenced to pay a fine of Rs. 40 each. They filed multiple revision applications, but all were dismissed.. During the hearing, several irregularities in the proceedings were highlighted, including unauthorized interference by the Sarpanch, failure to explain the charge to the accused, unauthorized appointment of a commission, and lack of evidence to establish the offense under Section 160 of the Penal Code. The High Court allowed the application, set aside the convictions of the accused, and ordered that the fines, if paid, be refunded.."
"The case involves a dispute over the admissibility of a promissory note in a suit for the recovery of money. The plaintiff claimed a sum of Rs. 1,500 based on a promissory note executed by the defendant. The defendant argued that the promissory note was insufficiently stamped and thus inadmissible as evidence, contending that the loan and promissory note were part of the same transaction.","The lower appellate court ruled in favor of the plaintiff, allowing the suit to proceed based on the original loan amount. The defendant appealed to the higher court.The plaintiff/respondent won the case, as the higher court upheld the lower court's decision, ruling that the promissory note was intended as collateral security and did not replace the original contract of loan. Therefore, the plaintiff could sue based on the original loan despite the promissory note being insufficiently stamped.",0,,"Key info:  The case involves a dispute over the admissibility of a promissory note in a suit for the recovery of money. The plaintiff claimed a sum of Rs. 1,500 based on a promissory note executed by the defendant.. The lower appellate court ruled in favor of the plaintiff, allowing the suit to proceed based on the original loan amount. The defendant appealed to the higher court.."
"Four writ petitions were filed by business owners in Kanpur seeking to quash sales tax assessment proceedings. They argued that the authorities were attempting to tax forward transactions, which they claimed were not taxable according to a previous court decision. However, the affidavits submitted by the petitioners were found to be unsatisfactory and lacked clarity. It was unclear if the assessment proceedings solely concerned forward transactions exempt from tax.","The court rejected the writ petitions, stating that the affidavits did not provide sufficient evidence to support the petitioners' claims. It was emphasized that the sales tax officers had the jurisdiction to determine tax liability, and the petitioners had alternative remedies through appeal processes. Additionally, the court noted that the legislature's policy required tax deposits before appeals could be heard, and the amount of tax assessed was not unduly burdensome for the petitioners.",0,,"Key info:  Four writ petitions were filed by business owners in Kanpur seeking to quash sales tax assessment proceedings. They argued that the authorities were attempting to tax forward transactions, which they claimed were not taxable according to a previous court decision.. The court rejected the writ petitions, stating that the affidavits did not provide sufficient evidence to support the petitioners' claims. It was emphasized that the sales tax officers had the jurisdiction to determine tax liability, and the petitioners had alternative remedies through appeal processes.."
"Shyam Lal Prag Narain, a firm in Agra, paid commissions to its Manager and Assistant Manager without deducting income-tax or excess profits tax. The Excess Profits Tax Officer disallowed a portion of these commissions, leading to an appeal by the assessee to the Tribunal. The Tribunal referred two questions to the High Court for decision.",The High Court clarified that the Excess Profits Tax Officer could not go against the pre-existing practice of commission calculation without considering the terms of the contract between the parties. It emphasized that the reasonableness of the payment should be judged based on the business's exigencies and the services rendered by the employees. The Court awarded costs to the assessee.,1,,"Key info:  Shyam Lal Prag Narain, a firm in Agra, paid commissions to its Manager and Assistant Manager without deducting income-tax or excess profits tax. The Excess Profits Tax Officer disallowed a portion of these commissions, leading to an appeal by the assessee to the Tribunal.. The High Court clarified that the Excess Profits Tax Officer could not go against the pre-existing practice of commission calculation without considering the terms of the contract between the parties. It emphasized that the reasonableness of the payment should be judged based on the business's exigencies and the services rendered by the employees.."
"The case involved a firm, Shyam Lal Prag Narain, which paid commissions to its Manager and Assistant Manager without deducting income tax or excess profits tax. The firm claimed these commissions as allowable deductions, but the Excess Profits Tax Officer disallowed a portion of the commission payment. The dispute centered around whether the payment of commissions was reasonable and necessary for the business, considering the terms of the contract and the services rendered by the employees","The appellate tribunal failed to consider the relevant provisions of the law and the circumstances of the case properly. The court held that the Excess Profits Tax Officer's decision should be based on whether the commission payment was reasonable and necessary, not solely on whether it was a voluntary payment or a legal liability. Therefore, the tribunal's decision was set aside, and the case was remanded for reconsideration based on the correct legal principles.",1,,"Key info:  The case involved a firm, Shyam Lal Prag Narain, which paid commissions to its Manager and Assistant Manager without deducting income tax or excess profits tax. The firm claimed these commissions as allowable deductions, but the Excess Profits Tax Officer disallowed a portion of the commission payment.. The appellate tribunal failed to consider the relevant provisions of the law and the circumstances of the case properly. The court held that the Excess Profits Tax Officer's decision should be based on whether the commission payment was reasonable and necessary, not solely on whether it was a voluntary payment or a legal liability.."
Four appeals were brought before a Full Bench to determine whether a special appeal lies to a division Bench from the decision of a Single Judge on a petition for the issue of a writ under Article 226 of the Constitution. The issue revolved around the interpretation of Rule 5 of Chapter VIII of the court's rules.,The majority opinion held that appeals from orders passed by a Single Judge under Article 226 are not barred by Rule 5 of Chapter VIII of the Court's rules.,1,,Key info:  Four appeals were brought before a Full Bench to determine whether a special appeal lies to a division Bench from the decision of a Single Judge on a petition for the issue of a writ under Article 226 of the Constitution. The issue revolved around the interpretation of Rule 5 of Chapter VIII of the court's rules.. The majority opinion held that appeals from orders passed by a Single Judge under Article 226 are not barred by Rule 5 of Chapter VIII of the Court's rules..
"The petitioners, who are Auditors in the Cooperative Department of the State of Uttar Pradesh, challenged the decision of the State Government to impose a qualification test on them before granting them higher scales of pay. They argued that this decision was arbitrary and unjust, alleging discrimination between General Auditors and Cane Auditors. The State Government defended its decision, stating that the test was necessary for General Auditors due to the complexity of their work, while exempting Cane Auditors due to their limited scope for promotion and simpler responsibilities.","The court dismissed the petition, ruling in favor of the State Government. It held that the imposition of the test on General Auditors was justified, and the exemption for Cane Auditors was not discriminatory. The court also rejected the petitioners' appeal to Articles 14 and 16, stating that their demand for exemption based on equality of opportunity was untenable.",0,,"Key info:  The petitioners, who are Auditors in the Cooperative Department of the State of Uttar Pradesh, challenged the decision of the State Government to impose a qualification test on them before granting them higher scales of pay. They argued that this decision was arbitrary and unjust, alleging discrimination between General Auditors and Cane Auditors.. The court dismissed the petition, ruling in favor of the State Government. It held that the imposition of the test on General Auditors was justified, and the exemption for Cane Auditors was not discriminatory.."
"Two connected applications under Section 25 of the Small Causes Court Act raise a question about the liability of the Post Office for Value Payable Post (V.P.P.) articles. In both cases, the plaintiffs sued the Post Office for non-delivery of V.P.P. parcels and sought recovery of the parcel's value. The Post Office contested the suits, denying liability.","The court held that the Post Office did not prove the loss of the articles and decreed in favor of the plaintiffs, holding the Post Office liable for breach of contract. The court emphasized that the Post Office, while not engaging in contractual relationships, is liable for damages if it fails to fulfill its duty under the V.P.P. system.",1,,"Key info:  Two connected applications under Section 25 of the Small Causes Court Act raise a question about the liability of the Post Office for Value Payable Post (V.P.P.) articles. In both cases, the plaintiffs sued the Post Office for non-delivery of V.P.P. parcels and sought recovery of the parcel's value.. The court held that the Post Office did not prove the loss of the articles and decreed in favor of the plaintiffs, holding the Post Office liable for breach of contract. The court emphasized that the Post Office, while not engaging in contractual relationships, is liable for damages if it fails to fulfill its duty under the V.P.P. system.."
"The appellant, an executive officer of the Municipal Board, was suspended by the State Government pending an enquiry into charges against him. The Act under which the Board operates contains no express provision empowering the State Government to suspend an executive officer.",The court held that the State Government did not have the implied power to suspend the appellant. The order of the State Government suspending the appellant was quashed.,1,,"Key info:  The appellant, an executive officer of the Municipal Board, was suspended by the State Government pending an enquiry into charges against him. The Act under which the Board operates contains no express provision empowering the State Government to suspend an executive officer.. The court held that the State Government did not have the implied power to suspend the appellant. The order of the State Government suspending the appellant was quashed.."
"Zahir Ahmad petitioned the Court under Article 226 of the Constitution of India, seeking a writ of habeas corpus or an order akin to it, to secure his release from custody. The petition stemmed from a situation where Zahir Ahmad and others were being proceeded against under Section 107 of the Code of Criminal Procedure. However, the Magistrate did not follow the required procedure under Section 112 of the Code, issuing notices instead of making a proper order in writing. The petitioner argued that despite being on bail, he remained under the control of the court and thus could seek habeas corpus relief.","The Court deliberated on whether the procedural lapses amounted to an illegal detention warranting habeas corpus relief. Ultimately, the Court held that although there were procedural irregularities, they did not result in the illegal detention of the petitioner. The court found that the petitioner had not suffered any actual detention as a result of the warrant issued against him, as he voluntarily appeared in court and the warrant was never executed. Therefore, the petition was dismissed, and the case record was returned to the trial court.",0,,"Key info:  Zahir Ahmad petitioned the Court under Article 226 of the Constitution of India, seeking a writ of habeas corpus or an order akin to it, to secure his release from custody. The petition stemmed from a situation where Zahir Ahmad and others were being proceeded against under Section 107 of the Code of Criminal Procedure.. The Court deliberated on whether the procedural lapses amounted to an illegal detention warranting habeas corpus relief. Ultimately, the Court held that although there were procedural irregularities, they did not result in the illegal detention of the petitioner.."
"The assessee is a company that manufactures alcohol and other spirits.
The company was incorporated in 1943 in the erstwhile Rampur State.
Income tax was introduced in Rampur State in 1944, but the assessee was exempted by the ruler.
Rampur State merged with India before April 1, 1949.
The Indian Income Tax Act became applicable to the assessee with effect from the assessment year 1950-51.
The assessee claimed depreciation on its assets based on their written down value calculated from the purchase year (1942-43).
The Income Tax Department argued that depreciation should be based on the written down value considering depreciation that could have been claimed in previous years under the Income Tax Act.","The court agreed with the assessee. The term ""actually allowed"" in Section 10(5) refers to depreciation authorized by the Income Tax Department during income tax assessment, not theoretical depreciation the assessee could have claimed.

Since the assessee was exempt from income tax before 1950-51, no depreciation was ever ""actually allowed."" Therefore, the written down value should be the original cost without any deduction for depreciation.",1,,"Key info:  The assessee is a company that manufactures alcohol and other spirits.
 The company was incorporated in 1943 in the erstwhile Rampur State.
. The court agreed with the assessee. The term ""actually allowed"" in Section 10(5) refers to depreciation authorized by the Income Tax Department during income tax assessment, not theoretical depreciation the assessee could have claimed.

."
"The dispute revolves around Fatehganj Bazar in Lucknow, with the appellants claiming proprietary rights over it based on a historical exchange of rights dating back to 1868. They allege that the State Government, without notice, forcibly resumed control of the market, leading to loss of revenue for the appellants. The appellants sought relief through a writ petition, claiming infringement of their fundamental right to property.","The court, however, dismissed the appeal, upholding the decision of Mr. Justice Tandon. It ruled that the appellants' rights were contractual in nature, rooted in a sanad (deed) from 1868, which allowed for resumption in case of breach of conditions. The court found no violation of fundamental rights and noted that the dispute involved complex contractual obligations and disputed facts. Therefore, it deemed a writ of mandamus inappropriate in this case.",0,,"Key info:  The dispute revolves around Fatehganj Bazar in Lucknow, with the appellants claiming proprietary rights over it based on a historical exchange of rights dating back to 1868. They allege that the State Government, without notice, forcibly resumed control of the market, leading to loss of revenue for the appellants.. The court, however, dismissed the appeal, upholding the decision of Mr. Justice Tandon. It ruled that the appellants' rights were contractual in nature, rooted in a sanad (deed) from 1868, which allowed for resumption in case of breach of conditions.."
"In the case of Messrs. Hirday Narain Yogendra Prakash vs. Income-tax Officer, the appellant, a partnership firm, challenged the validity of a notice issued under section 148 of the Income-tax Act, 1961, for the assessment year 1956-57. The appellant argued that the Income-tax Officer lacked jurisdiction to proceed under section 147 and that the notice was barred by limitation. Additionally, the appellant contended that the provisions of section 147(a) could not be applied retrospectively to the assessment year 1956-57, and that section 4 of the Income-tax Act, 1961, could not be applied to that assessment year. However, the court rejected these contentions.","The court dismissed the petition, upholding the validity of the notice issued by the Income-tax Officer under section 148 for the assessment year 1956-57. The court found the appellant's contentions to be without substance.",0,,"Key info:  In the case of Messrs. Hirday Narain Yogendra Prakash vs. Income-tax Officer, the appellant, a partnership firm, challenged the validity of a notice issued under section 148 of the Income-tax Act, 1961, for the assessment year 1956-57. The appellant argued that the Income-tax Officer lacked jurisdiction to proceed under section 147 and that the notice was barred by limitation.. The court dismissed the petition, upholding the validity of the notice issued by the Income-tax Officer under section 148 for the assessment year 1956-57. The court found the appellant's contentions to be without substance.."
"An assessee (individual) sub-leased a tea garden (Banjarwala) and purchased the tea crop for Rs. 10,000.
The assessee argued they were entitled to the benefit of Rule 24 (tax exemption for agricultural income) as they performed some hoeing.
The dispute is whether the assessee ""grew"" the tea for Rule 24 to apply.","The court ruled ""growing"" refers to the initial planting and cultivation, not tending existing bushes.
The assessee's hoeing activities were secondary and did not qualify as agriculture.
The assessee lost the case and is liable for full income tax on the tea sales.",0,,"Key info:  An assessee (individual) sub-leased a tea garden (Banjarwala) and purchased the tea crop for Rs. 10,000.
 The assessee argued they were entitled to the benefit of Rule 24 (tax exemption for agricultural income) as they performed some hoeing.
. The court ruled ""growing"" refers to the initial planting and cultivation, not tending existing bushes.
 The assessee's hoeing activities were secondary and did not qualify as agriculture.
."
"The case involved a dispute between Messrs. United Timber Trading Co., Calcutta, and the Union of India, which was referred to arbitration. The nominee of the Government and the arbitrator nominated by Messrs. United Timber Trading Co. Ltd. decided to request a judge, who later became the Chief Justice, to act as an umpire. After initial reluctance, the judge agreed to act as an umpire in peculiar circumstances, including the sudden death of one of the arbitrators. The judge submitted a bill for his services as an umpire, which was eventually passed by the Deputy Accountant-General after some delay.","The Income-tax Appellate Tribunal erred in holding that the judge's income from acting as an umpire was connected to his judicial office. The judge argued that arbitration work was distinct from his judicial duties and should not be considered part of his official duties. The judge's stance was upheld, and it was determined that the income from arbitration was not taxable.",1,,"Key info:  The case involved a dispute between Messrs. United Timber Trading Co., Calcutta, and the Union of India, which was referred to arbitration. The nominee of the Government and the arbitrator nominated by Messrs. United Timber Trading Co. Ltd. decided to request a judge, who later became the Chief Justice, to act as an umpire.. The Income-tax Appellate Tribunal erred in holding that the judge's income from acting as an umpire was connected to his judicial office. The judge argued that arbitration work was distinct from his judicial duties and should not be considered part of his official duties.."
"The Income Tax Department raided multiple businesses owned by a family in Firozabad.
The family claimed the raids were illegal and motivated by revenge from a prior disagreement with a tax officer.
The case went to court, with the family arguing that the creation of a special tax circle to investigate them and the search warrants used were illegal.","The creation of the special tax circle was legal.
The search warrants were legal based on the information the Income Tax Department had.
Whether the seized documents were relevant would be decided later.",0,,"Key info:  The Income Tax Department raided multiple businesses owned by a family in Firozabad.
 The family claimed the raids were illegal and motivated by revenge from a prior disagreement with a tax officer.
. The creation of the special tax circle was legal.
 The search warrants were legal based on the information the Income Tax Department had.
."
"The defendant-petitioner applied under Article 133(1)(b) and (c) read with Article 135 of the Indian Constitution, seeking a certificate for appeal to the Supreme Court. The case arose from a suit filed by the plaintiff-opposite party for possession of a plot of land in Saharanpur. The Munsif valued the constructions on the disputed land at Rs. 6,000. The defendant-petitioner argued that the case fell under Article 133(1)(b) as the judgment and decree directly involved a question concerning property valued at over Rs. 10,000. However, the Division Bench referred the matter to the Court to decide whether the case met the criteria of Article 133(1)(b) and Section 110 of the Civil Procedure Code.","The Court held that the case did not fall under Article 133(1)(b) because only the value of constructions existing at the time of the suit, not those added later, could be considered. Additionally, the Court determined that Article 133(1)(b) and Section 110 of the Civil Procedure Code are independent of Clause (a) of Article 133(1) and Section 110(1) of the Civil Procedure Code. Therefore, if the value of the property involved exceeded Rs. 10,000 at the time of the proposed appeal to the Supreme Court, a certificate under Clause (b) of Article 133(1) and the second part of Section 110 of the Civil Procedure Code would be granted.",1,,"Key info:  The defendant-petitioner applied under Article 133(1)(b) and (c) read with Article 135 of the Indian Constitution, seeking a certificate for appeal to the Supreme Court. The case arose from a suit filed by the plaintiff-opposite party for possession of a plot of land in Saharanpur.. The Court held that the case did not fall under Article 133(1)(b) because only the value of constructions existing at the time of the suit, not those added later, could be considered. Additionally, the Court determined that Article 133(1)(b) and Section 110 of the Civil Procedure Code are independent of Clause (a) of Article 133(1) and Section 110(1) of the Civil Procedure Code.."
"The Cawnpore Rolling Mills (Private) Ltd. (appellant) took a loan from the bank and mortgaged a property as security.
The company defaulted on the loan, and the bank obtained a decree for sale of the property.
The Income Tax Department claimed that the property could not be sold until outstanding taxes were paid.
The dispute was whether the Income Tax Act applied to a decree for sale of mortgaged property.","The court ruled that the Income Tax Act did not apply to decrees for sale of mortgaged property.
The bank was entitled to proceed with the sale of the property to recover its debt.",1,,"Key info:  The Cawnpore Rolling Mills (Private) Ltd. (appellant) took a loan from the bank and mortgaged a property as security.
 The company defaulted on the loan, and the bank obtained a decree for sale of the property.
. The court ruled that the Income Tax Act did not apply to decrees for sale of mortgaged property.
 The bank was entitled to proceed with the sale of the property to recover its debt.."
"The case involves a dispute over the ownership of properties, including four shops and a share in a house in Agra, as well as the validity of an adoption. The plaintiff claims ownership based on being the son of Smt. Chameli, while the defendants assert that the plaintiff was adopted by the second wife of Ranchhordas. The defendants also argue that the properties in question were joint family property and that the plaintiff has no title to them. Various issues were raised and evidence presented regarding the lineage, ownership of the properties, and the alleged adoption.","The appeal court overturned the trial court's decision, ruling in favor of the plaintiff. The court found that the agreement presented as evidence did not constitute a valid will or authorization for adoption. Additionally, the court deemed the oral evidence regarding adoption to be unreliable. The court also rejected the argument that the agreement amounted to a family settlement, as it was deemed imprudent, unreasonable, and prejudicial to the estate. Thus, the plaintiff was granted possession of the properties in question and awarded mesne profits.",1,,"Key info:  The case involves a dispute over the ownership of properties, including four shops and a share in a house in Agra, as well as the validity of an adoption. The plaintiff claims ownership based on being the son of Smt.. The appeal court overturned the trial court's decision, ruling in favor of the plaintiff. The court found that the agreement presented as evidence did not constitute a valid will or authorization for adoption.."
"Sant Baba Mohan Singh, assessed as an individual for the assessment year 1960-61, filed a return showing nil income due to his engagement in religious and charitable activities. The Income-tax Officer estimated his income at Rs. 1,00,000 without issuing a notice under Section 23(2) of the Income-tax Act, 1922. On appeal, the Appellate Assistant Commissioner found the assessment invalid for lack of the Section 23(2) notice and directed a fresh assessment. The Income-tax Appellate Tribunal upheld this decision, rejecting the appellant's argument that the assessment should have been annulled.",The Appellate Assistant Commissioner's decision to set aside the assessment and direct a fresh assessment was upheld by the Income-tax Appellate Tribunal.,0,,"Key info:  Sant Baba Mohan Singh, assessed as an individual for the assessment year 1960-61, filed a return showing nil income due to his engagement in religious and charitable activities. The Income-tax Officer estimated his income at Rs. 1,00,000 without issuing a notice under Section 23(2) of the Income-tax Act, 1922.. The Appellate Assistant Commissioner's decision to set aside the assessment and direct a fresh assessment was upheld by the Income-tax Appellate Tribunal.."
